mergecolumn,Question,Correct Answer,Guess,Similarity,Accuracy,Comments
In which Ohio city was the 1995 Bosnian peace accord signed in? cleveland,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,actin,4,0,
"What U.S. president's face graces a $100,000 bill? andrew jackson","Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,bone,4,0,
Who was first to publish the theory that the Earth revolves around the sun? galileo,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,bones,4,0,
What Internet search utility was named after the mascot of the University of Minnesota? gopher,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,boric acid,1,0,
What leader said in 1942 'Never before have we had so little time in which to do so much'? winston churchill,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,calcium,7,1,
"In horse racing, in which city is the Japan Cup held? kyoto","Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,calicum,7,1,
Who invented the steamboat Clermont? thomas edison,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carapace,4,0,
What state shares its border with the most states? kansas,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbohydrates,1,0,
What US coin weighs five grams? quarter,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbon,1,0,
What is 10% of the salt mined in the world used for in America? cooking,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbon dioxide,1,0,
In what game are the standard pieces of Staunton design? chess,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartelege,4,0,
What is the middle item the Cat in the Hat eventually balances in his left hand? coffee cup,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilage,4,0,
What city's worker-student protests of 1968 resulted in a 33 percent rise in the national minimum wage? philadelphia,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartiledge,4,0,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? winston marselas,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilege,4,0,
Whose guitar version of The Star-Spangled Banner was featured in a 1996 Aiwa TV ad? lenny kravitz,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilidge,4,0,
What is the most shoplifted book? harry potter,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilige,4,0,
What is the name of Roy Rogers' horse? pockets,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chin,1,0,
Which horse was Horse of the Year from 1960 to 1964? warhammer,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chlorophyll,1,0,
For which president was the blueberry jelly bean made? lyndon johnson,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chromoplast,1,0,
What was the B-17 long-range bomber nicknamed in World War II? mitchell,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,collagen,2,0,
What Pakistani was the first head of state in the 20th century to give birth in office? indira ghandi,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,creatine,1,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed? nitrogen,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,don't know,1,0,
What's the first word uttered in Citizen Kane? run,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,dung,1,0,
What is rocker Darius Rucker's stage name? hootie,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,exercise,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? uss enterprise,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,exoskeleton,1,0,
Yapping Deng was a world champion in which sport? table tennis,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,fiber,3,0,
What is the second largest island in Europe? cyprus,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,immune system,1,0,
Who was the first democratically elected president of Russia? gorbechev,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,karatin,2,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? vatican","Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,keratin,2,0,
Who invented the radio? thomas edison,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,kerotin,2,0,
Who hosted the 1994 MTV Movie awards? downtown julie brown,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,kreatin,1,0,
Who wrote the Star Spangled Banner? scott key,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,monosaccharides,2,0,
What two fruits were Hawaiian women once forbidden by law to eat? banana and papaya,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,mucus,1,0,
What chemical compound comes from the Greek word for 'primary'? carbon,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,myoglobin,1,0,
What do birds rely on to swallow? reflex,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,plasma,1,0,
What is the most common cactus? southwestern,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,protein,2,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? we are the champions,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,proteins,2,0,
Who wrote the song 'I Love Paris'? michael jackson,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,protine,2,0,
What was the name of the lunar module that landed the first man on the moon? eagle,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,rocks,1,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? nautalis,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,salosin,1,0,
Which hit-making band featured Andy Summers and Stewart Copeland? the clash,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,shell,1,0,
What inscription on US coins did Theodore Roosevelt try in vain to have removed? e pluribus unum,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,shells,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? parastroyka,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,skin,1,0,
What vice president was accused of being drunk when sworn in? dan quayle,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,skip,1,0,
What group's lead guitar player is known for his amps with control knobs that go up to 11? slash,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,song,1,0,
What color is Mary Jane's shirt during the rain kiss in the first Spider-Man movie? red,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,spine,1,0,
What body part is low-density lipoprotein most likely to clog? artery,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,spit,1,0,
Who was the first country artist to sell over 10 million copies of an album? garth brooks,"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,the slime,1,0,
What is the name of the largest ocean on Earth? pacific,Copper and what else are two main constituents of bronze?,Tin,aluminum,3,0,
What is the ninth most poisonous animal in the world? scorpion,Copper and what else are two main constituents of bronze?,Tin,aluminum and steel,3,0,
What was the poison used at Socrates' execution? arsenic,Copper and what else are two main constituents of bronze?,Tin,brass,3,0,
What is the state flower of North Dakota? carnation,Copper and what else are two main constituents of bronze?,Tin,carbon,2,0,
What radioactive element is extracted from carnotite and pitchblende? uranium,Copper and what else are two main constituents of bronze?,Tin,copper and iron,2,0,
What British group got its name from the title of a 1950 Muddy Waters song? beatles,Copper and what else are two main constituents of bronze?,Tin,copper and nickel,2,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? jimmy carter,Copper and what else are two main constituents of bronze?,Tin,dense,1,0,
What's the name of the main airport in Madrid? madrid international,Copper and what else are two main constituents of bronze?,Tin,gold,1,0,
In what city is Texas State University? austin,Copper and what else are two main constituents of bronze?,Tin,iron,3,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? tin,Copper and what else are two main constituents of bronze?,Tin,iron and tin,2,0,
Who was the U.S. president when the first edition of the Farmer's Almanac was published? thomas jefferson,Copper and what else are two main constituents of bronze?,Tin,lead,3,0,
Which Tour did Prince begin in 1990? purple rain,Copper and what else are two main constituents of bronze?,Tin,nickel,3,0,
What was the first physician to record case histories of patients? madame curie,Copper and what else are two main constituents of bronze?,Tin,nickle,3,0,
Who is the voice of Gary the snail on Spongebob Squarepants? judd nelson,Copper and what else are two main constituents of bronze?,Tin,nickle brass,2,0,
What cartoon character did Walter Lantz create? mickey mouse,Copper and what else are two main constituents of bronze?,Tin,silicon,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? avita,Copper and what else are two main constituents of bronze?,Tin,silver,3,0,
What cartoonist has had three insect species named after him? walt disney,Copper and what else are two main constituents of bronze?,Tin,steel,3,0,
What is the name of the composer who wrote Don Giovanni? mozart,Copper and what else are two main constituents of bronze?,Tin,stone,1,0,
What type of material constitutes at least half of all toothpastes? gum,Copper and what else are two main constituents of bronze?,Tin,sulfide,2,0,
Whose 1991 autobiography was called 'And The Beat Goes On'? suzanna huff,Copper and what else are two main constituents of bronze?,Tin,tin,7,1,
What is the most commonly known tryptamine? tylonol,Copper and what else are two main constituents of bronze?,Tin,zinc,2,0,
What are you shopping for if you're sized up by a Brannock Device? shoes,For which president was the blueberry jelly bean made?,Ronald Reagan,abhaham lincon,2,0,
Which beverage company featured the hit 'Like A Prayer' in its advertisement? pepsi,For which president was the blueberry jelly bean made?,Ronald Reagan,abraham lincoln,2,0,
What sport uses stones and brooms? wicket,For which president was the blueberry jelly bean made?,Ronald Reagan,abraham lincon,2,0,
What is the name of the goldfish in 'Pinocchio'? splashy,For which president was the blueberry jelly bean made?,Ronald Reagan,andrew jackson,2,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune? america is the,For which president was the blueberry jelly bean made?,Ronald Reagan,bill clinton,4,0,
What was actor Lon Chaney also known by? squiggy,For which president was the blueberry jelly bean made?,Ronald Reagan,bush,4,0,
Motor racing's Juan Manuel Fangio came from which country? spain,For which president was the blueberry jelly bean made?,Ronald Reagan,bush 1,4,0,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? britney spears,For which president was the blueberry jelly bean made?,Ronald Reagan,carter,4,0,
What is Mark Twain's real name? malcolm x,For which president was the blueberry jelly bean made?,Ronald Reagan,clinton,4,0,
What is 'Turdus migratorius' better known as? poop,For which president was the blueberry jelly bean made?,Ronald Reagan,eisenhower,2,0,
What fraternity was George W. Bush in? alpha beta kappa,For which president was the blueberry jelly bean made?,Ronald Reagan,fdr,2,0,
What did Jonas Salk invent? tinfoil,For which president was the blueberry jelly bean made?,Ronald Reagan,ford,2,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? jack nicholson,For which president was the blueberry jelly bean made?,Ronald Reagan,franklin delano roosevelt,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs? bone",For which president was the blueberry jelly bean made?,Ronald Reagan,franklin rooselt,2,0,
The forint is the monetary unit of what central European country? bolivia,For which president was the blueberry jelly bean made?,Ronald Reagan,franklin roosevelt,2,0,
What food is the leading source of salmonella poisoning? lettuce,For which president was the blueberry jelly bean made?,Ronald Reagan,garfield,2,0,
What colorless gas is essential in the production of fertilizers and light bulbs? nitrogen,For which president was the blueberry jelly bean made?,Ronald Reagan,greg,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? the young and the restless,For which president was the blueberry jelly bean made?,Ronald Reagan,grover cleveland,2,0,
What's the unit of capacity for fuel wood? therms,For which president was the blueberry jelly bean made?,Ronald Reagan,isenhower,2,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? beat it,For which president was the blueberry jelly bean made?,Ronald Reagan,jackson,2,0,
What US president died 79 days after being shot? abraham lincoln,For which president was the blueberry jelly bean made?,Ronald Reagan,jefferson,2,0,
Copper and what else are two main constituents of bronze? iron,For which president was the blueberry jelly bean made?,Ronald Reagan,jfk,2,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? mark twain,For which president was the blueberry jelly bean made?,Ronald Reagan,jimmy carter,4,0,
What is the genus of the seahorse? mammal,For which president was the blueberry jelly bean made?,Ronald Reagan,john f kennedy,4,0,
Who was president of the US when Uncle Sam first got a beard? truman,For which president was the blueberry jelly bean made?,Ronald Reagan,johnson,4,0,
In what city was the movie 'Leprechaun' shot? london,For which president was the blueberry jelly bean made?,Ronald Reagan,kennedy,4,0,
From what were jack-o-lanterns originally carved? watermelons,For which president was the blueberry jelly bean made?,Ronald Reagan,lyndon b johnson,4,0,
Where was Seth MacFarlane born? toledo,For which president was the blueberry jelly bean made?,Ronald Reagan,lyndon johnson,4,0,
What was the name of the first probe to send back pictures from Mars? magellan,For which president was the blueberry jelly bean made?,Ronald Reagan,nixon,4,0,
Who was the first solo female host of the Academy Awards Ceremony? streep,For which president was the blueberry jelly bean made?,Ronald Reagan,not sure,1,0,
What was the first war in which one jet plane shot down another? korean,For which president was the blueberry jelly bean made?,Ronald Reagan,president carter,4,0,
In which Ohio city was the 1995 Bosnian peace accord signed in? dayton,For which president was the blueberry jelly bean made?,Ronald Reagan,president clinton,4,0,
"What U.S. president's face graces a $100,000 bill? coburn",For which president was the blueberry jelly bean made?,Ronald Reagan,reagan,7,1,
Who was first to publish the theory that the Earth revolves around the sun? capernicus,For which president was the blueberry jelly bean made?,Ronald Reagan,reagon,7,1,
What leader said in 1942 'Never before have we had so little time in which to do so much'? roosevelt,For which president was the blueberry jelly bean made?,Ronald Reagan,regan,7,1,
"In horse racing, in which city is the Japan Cup held? tokyo",For which president was the blueberry jelly bean made?,Ronald Reagan,richard nixon,4,0,
Who invented the steamboat Clermont? anderson,For which president was the blueberry jelly bean made?,Ronald Reagan,ronald reagan,7,1,
What state shares its border with the most states? tennessee,For which president was the blueberry jelly bean made?,Ronald Reagan,ronald reagon,7,1,
What US coin weighs five grams? nickel,For which president was the blueberry jelly bean made?,Ronald Reagan,ronald regan,7,1,
What is 10% of the salt mined in the world used for in America? de-ice roads,For which president was the blueberry jelly bean made?,Ronald Reagan,roosevelt,2,0,
What is the middle item the Cat in the Hat eventually balances in his left hand? red book,For which president was the blueberry jelly bean made?,Ronald Reagan,rosevelt,2,0,
What city's worker-student protests of 1968 resulted in a 33 percent rise in the national minimum wage? paris,For which president was the blueberry jelly bean made?,Ronald Reagan,sam adams,1,0,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? cole,For which president was the blueberry jelly bean made?,Ronald Reagan,taft,2,0,
Whose guitar version of The Star-Spangled Banner was featured in a 1996 Aiwa TV ad? jimi hendrix,For which president was the blueberry jelly bean made?,Ronald Reagan,teddy roosavelt,2,0,
What is the most shoplifted book? bible,For which president was the blueberry jelly bean made?,Ronald Reagan,teddy roosevelt,2,0,
What is the name of Roy Rogers' horse? trigger,For which president was the blueberry jelly bean made?,Ronald Reagan,theodore roosevelt,2,0,
Which horse was Horse of the Year from 1960 to 1964? kelso,For which president was the blueberry jelly bean made?,Ronald Reagan,thomas roosevelt,1,0,
For which president was the blueberry jelly bean made? reagan,For which president was the blueberry jelly bean made?,Ronald Reagan,truman,2,0,
What was the B-17 long-range bomber nicknamed in World War II? flying fortress,For which president was the blueberry jelly bean made?,Ronald Reagan,ulysses s grant,2,0,
What Pakistani was the first head of state in the 20th century to give birth in office? bhutto,For which president was the blueberry jelly bean made?,Ronald Reagan,woodrow wilson,2,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed? helium,From what were jack-o-lanterns originally carved?,Turnips,apples,1,0,
What's the first word uttered in Citizen Kane? rosebud,From what were jack-o-lanterns originally carved?,Turnips,cantelopes,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? hornet,From what were jack-o-lanterns originally carved?,Turnips,coconuts,1,0,
What is the second largest island in Europe? iceland,From what were jack-o-lanterns originally carved?,Turnips,cucumbers,1,0,
Who was the first democratically elected president of Russia? yeltsin,From what were jack-o-lanterns originally carved?,Turnips,eggplant,2,0,
Who invented the radio? marconi,From what were jack-o-lanterns originally carved?,Turnips,eggplants,2,0,
Who hosted the 1994 MTV Movie awards? will smith,From what were jack-o-lanterns originally carved?,Turnips,ghords,3,0,
Who wrote the Star Spangled Banner? francis scott key,From what were jack-o-lanterns originally carved?,Turnips,goards,3,0,
What two fruits were Hawaiian women once forbidden by law to eat? coconut and banana,From what were jack-o-lanterns originally carved?,Turnips,gords,3,0,
What chemical compound comes from the Greek word for 'primary'? protien,From what were jack-o-lanterns originally carved?,Turnips,gourd,3,0,
What do birds rely on to swallow? gravity,From what were jack-o-lanterns originally carved?,Turnips,gourds,3,0,
What is the most common cactus? prickly pear,From what were jack-o-lanterns originally carved?,Turnips,guords,3,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? born in the usa,From what were jack-o-lanterns originally carved?,Turnips,human heads,1,0,
Who wrote the song 'I Love Paris'? mozart,From what were jack-o-lanterns originally carved?,Turnips,melon,1,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? beagle,From what were jack-o-lanterns originally carved?,Turnips,not sure,1,0,
Which hit-making band featured Andy Summers and Stewart Copeland? clash,From what were jack-o-lanterns originally carved?,Turnips,parties,1,0,
What inscription on US coins did Theodore Roosevelt try in vain to have removed? in god we trust,From what were jack-o-lanterns originally carved?,Turnips,potato,4,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? solidarity,From what were jack-o-lanterns originally carved?,Turnips,potatoes,4,0,
What vice president was accused of being drunk when sworn in? johnson,From what were jack-o-lanterns originally carved?,Turnips,pumkins,3,0,
What group's lead guitar player is known for his amps with control knobs that go up to 11? spinal tap,From what were jack-o-lanterns originally carved?,Turnips,pumpkin,3,0,
What color is Mary Jane's shirt during the rain kiss in the first Spider-Man movie? pink,From what were jack-o-lanterns originally carved?,Turnips,pumpkins,3,0,
What body part is low-density lipoprotein most likely to clog? arteries,From what were jack-o-lanterns originally carved?,Turnips,radishes,5,0,
What is the ninth most poisonous animal in the world? dart frog,From what were jack-o-lanterns originally carved?,Turnips,rutabaga,6,0,
What was the poison used at Socrates' execution? hemlock,From what were jack-o-lanterns originally carved?,Turnips,skip,1,0,
What is the state flower of North Dakota? prairie rose,From what were jack-o-lanterns originally carved?,Turnips,skulls,1,0,
What British group got its name from the title of a 1950 Muddy Waters song? the rolling stones,From what were jack-o-lanterns originally carved?,Turnips,squash,2,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? johnson,From what were jack-o-lanterns originally carved?,Turnips,squashes,2,0,
What's the name of the main airport in Madrid? bajanas,From what were jack-o-lanterns originally carved?,Turnips,stone,1,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? tungsten,From what were jack-o-lanterns originally carved?,Turnips,stumps,1,0,
Who was the U.S. president when the first edition of the Farmer's Almanac was published? washington,From what were jack-o-lanterns originally carved?,Turnips,trees,1,0,
