Question,Correct Answer,Guess,Similarity,Accuracy,Comments
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,actin,6,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,bone,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,bones,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,boric acid,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,calcium,7,1,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,calicum,7,1,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carapace,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbohydrates,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbon,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,carbon dioxide,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartelege,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilage,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartiledge,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilege,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilidge,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,cartilige,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chin,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chlorophyll,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,chromoplast,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,collagen,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,creatine,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,don't know,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,dung,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,exercise,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,exoskeleton,6,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,fiber,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,immune system,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,karatin,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,keratin,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,kerotin,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,kreatin,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,monosaccharides,4,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,mucus,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,myoglobin,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,plasma,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,protein,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,proteins,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,protine,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,rocks,1,0,
